confidence,source,em,f1,bert
0.7,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.5714285714285715,0.7300537824630737
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.98,GlobalMedQA_EN,0.0,0.0,0.5605049729347229
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0,0.7435935139656067
0.8,GlobalMedQA_EN,0.0,0.15384615384615383,0.5802425742149353
0.8,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.0,0.5244711637496948
0.8,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.9,GlobalMedQA_EN,0.0,0.0,0.4832334518432617
0.9,GlobalMedQA_EN,0.0,0.888888888888889,0.8607017993927002
0.8,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.0,0.8091310858726501
0.85,GlobalMedQA_EN,0.0,0.09090909090909091,0.45382529497146606
0.95,GlobalMedQA_EN,0.0,0.0,0.4355038106441498
0.8,GlobalMedQA_EN,0.0,0.0,0.6740113496780396
0.95,GlobalMedQA_EN,0.0,0.16666666666666666,0.6548903584480286
0.99,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.7272727272727274,0.8668707013130188
0.9,GlobalMedQA_EN,0.0,0.0,0.5114343762397766
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.4,0.8484258651733398
0.9,GlobalMedQA_EN,0.0,0.0,0.6931585669517517
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.6675320863723755
0.99,GlobalMedQA_EN,0.0,0.0,0.5685324668884277
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.85,GlobalMedQA_EN,0.0,0.1904761904761905,0.6196159720420837
0.8,GlobalMedQA_EN,0.0,0.0,0.5060669183731079
0.9,GlobalMedQA_EN,0.0,0.8,0.762000560760498
0.9,GlobalMedQA_EN,0.0,0.3333333333333333,0.8484423756599426
0.9,GlobalMedQA_EN,0.0,0.6666666666666666,0.7790037989616394
0.98,GlobalMedQA_EN,1.0,0.75,1.0
0.8,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.9,GlobalMedQA_EN,0.0,0.8888888888888888,0.9146688580513
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,1.0,1.0,0.9999998807907104
0.98,GlobalMedQA_EN,0.0,0.5,0.809716522693634
0.8,GlobalMedQA_EN,0.0,0.3333333333333333,0.9214144945144653
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.0,0.5891329646110535
0.95,GlobalMedQA_EN,0.0,0.3333333333333333,0.6771537065505981
0.9,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.9,GlobalMedQA_EN,0.0,0.0,0.6253701448440552
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.6,0.8784993886947632
0.95,GlobalMedQA_EN,0.0,0.0,0.6765692830085754
0.9,GlobalMedQA_EN,0.0,0.0,0.672907829284668
0.8,GlobalMedQA_EN,0.0,0.07407407407407408,0.564702570438385
0.8,GlobalMedQA_EN,0.0,0.0,0.47939756512641907
0.8,GlobalMedQA_EN,0.0,0.0,0.6004688739776611
0.8,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0,0.602810800075531
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0,0.5297590494155884
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.3333333333333333,0.8732585906982422
0.8,GlobalMedQA_EN,0.0,0.0,0.8589015603065491
0.9,GlobalMedQA_EN,0.0,0.0,0.5512393116950989
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.0,0.664214015007019
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.3,0.6954342126846313
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,0.0,0.21739130434782608,0.5040740966796875
0.9,GlobalMedQA_EN,0.0,0.0,0.5084055066108704
0.95,GlobalMedQA_EN,0.0,0.07407407407407407,0.4660482406616211
0.95,GlobalMedQA_EN,0.0,0.8000000000000002,0.8787851333618164
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.4,0.7240626215934753
0.8,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.9,GlobalMedQA_EN,0.0,0.4,0.6846194267272949
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0,0.49451613426208496
0.0,GlobalMedQA_EN,0.0,0.0,0.827836275100708
0.8,GlobalMedQA_EN,0.0,0.26666666666666666,0.647327721118927
0.95,GlobalMedQA_EN,0.0,0.0,0.6455951929092407
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.6666666666666666,0.7638624310493469
0.9,GlobalMedQA_EN,0.0,0.0,0.7128482460975647
0.7,GlobalMedQA_EN,0.0,0.0,0.7682597041130066
0.9,GlobalMedQA_EN,0.0,0.0,0.6310639381408691
0.98,GlobalMedQA_EN,0.0,0.04347826086956521,0.4798893928527832
0.9,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.36363636363636365,0.7510788440704346
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.98,GlobalMedQA_EN,0.0,0.0,0.41321516036987305
0.98,GlobalMedQA_EN,0.0,0.0,0.7758113741874695
0.95,GlobalMedQA_EN,0.0,0.0,0.8247619271278381
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.6055494546890259
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.98,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0625,0.5377000570297241
0.95,GlobalMedQA_EN,0.0,0.08000000000000002,0.5635389685630798
0.99,GlobalMedQA_EN,0.0,0.3333333333333333,0.8521857261657715
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.09999999999999999,0.5663415789604187
0.85,GlobalMedQA_EN,0.0,0.22222222222222224,0.7349533438682556
0.98,GlobalMedQA_EN,1.0,1.0,1.0
0.98,GlobalMedQA_EN,0.0,0.0,0.46851763129234314
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.8,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.36363636363636365,0.4835803806781769
0.9,GlobalMedQA_EN,0.0,0.15384615384615385,0.5042433738708496
0.9,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,0.0,0.0,0.522027313709259
0.8,GlobalMedQA_EN,0.0,0.0,0.6967782974243164
0.98,GlobalMedQA_EN,0.0,0.0,0.4946637451648712
0.8,GlobalMedQA_EN,0.0,0.0,0.30658695101737976
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,0.9999998807907104
0.8,GlobalMedQA_EN,0.0,0.15384615384615385,0.6837441325187683
0.9,GlobalMedQA_EN,0.0,0.28571428571428575,0.745468258857727
0.95,GlobalMedQA_EN,0.0,0.0,0.4569089114665985
0.95,GlobalMedQA_EN,0.0,0.5,0.7796919941902161
0.9,GlobalMedQA_EN,0.0,0.0,0.7113721966743469
0.9,GlobalMedQA_EN,0.0,0.0,0.5514520406723022
0.9,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,0.0,0.048780487804878044,0.5332164764404297
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,1.0,1.0,1.0
