confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.3,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.01,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.05,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.6,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.1,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.01,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,GlobalMedQA_EN,0.0,0.0,0.8329617381095886
0.95,GlobalMedQA_EN,0.0,0.5,0.943513035774231
0.9,GlobalMedQA_EN,0.0,0.5,0.8676725029945374
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,0.0,0.0,0.7142546772956848
0.95,GlobalMedQA_EN,0.0,0.25,0.8174079060554504
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.8518454432487488
0.7,GlobalMedQA_EN,0.0,0.0,0.6696214079856873
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.7065933346748352
0.95,GlobalMedQA_EN,0.0,0.3333333333333333,0.6430390477180481
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.0,0.6783450841903687
0.9,GlobalMedQA_EN,0.0,0.0,0.5958476066589355
0.95,GlobalMedQA_EN,0.0,0.0,0.7337916493415833
0.9,GlobalMedQA_EN,0.0,0.28571428571428575,0.7603800296783447
0.85,GlobalMedQA_EN,0.0,0.0,0.5398064851760864
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.6642632484436035
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.3333333333333333,0.804151713848114
0.95,GlobalMedQA_EN,0.0,0.0,0.5832502841949463
1.0,GlobalMedQA_EN,0.0,0.5882352941176471,0.807550311088562
0.95,GlobalMedQA_EN,0.0,0.0,0.6756786704063416
0.95,GlobalMedQA_EN,0.0,0.0,0.7838819622993469
0.95,GlobalMedQA_EN,0.0,0.0,0.6736133694648743
0.9,GlobalMedQA_EN,0.0,0.5,0.7585175037384033
0.8,GlobalMedQA_EN,0.0,0.0,0.6437389254570007
0.95,GlobalMedQA_EN,0.0,0.5,0.8955235481262207
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.40926072001457214
0.85,GlobalMedQA_EN,0.0,0.0,0.6018858551979065
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.13333333333333333,0.7250827550888062
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.3333333333333333,0.7930437326431274
0.95,GlobalMedQA_EN,0.0,0.0,0.6459490656852722
0.8,GlobalMedQA_EN,0.0,0.0,0.6925562620162964
0.85,GlobalMedQA_EN,1.0,1.0,0.9999997615814209
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.5714285714285715,0.8107784390449524
0.95,GlobalMedQA_EN,1.0,0.75,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.14285714285714285,0.5334823727607727
0.85,GlobalMedQA_EN,1.0,1.0,0.9999998807907104
0.95,GlobalMedQA_EN,0.0,0.0,0.5775002241134644
0.95,GlobalMedQA_EN,0.0,0.5,0.8097171187400818
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.75,GlobalMedQA_EN,0.0,0.0,0.8388999700546265
0.95,GlobalMedQA_EN,0.0,0.0,0.629144549369812
0.95,GlobalMedQA_EN,0.0,0.0,0.6904605031013489
0.95,GlobalMedQA_EN,0.0,0.0,0.7791969180107117
0.85,GlobalMedQA_EN,1.0,1.0,1.0
1.0,GlobalMedQA_EN,0.0,0.0,0.6308856010437012
0.95,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.95,GlobalMedQA_EN,0.0,0.0,0.7286436557769775
0.95,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.95,GlobalMedQA_EN,0.0,0.0,0.7568371295928955
0.95,GlobalMedQA_EN,0.0,0.0,0.5365840196609497
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.6004687547683716
0.95,GlobalMedQA_EN,0.0,0.0,0.788455069065094
0.95,GlobalMedQA_EN,0.0,0.0,0.7808519601821899
0.95,GlobalMedQA_EN,0.0,0.2222222222222222,0.640647828578949
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.0,0.7809549570083618
0.95,GlobalMedQA_EN,0.0,0.0,0.5448633432388306
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.9,GlobalMedQA_EN,0.0,0.0,0.6642140746116638
0.9,GlobalMedQA_EN,0.0,0.0,0.5292836427688599
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,0.0,0.0,0.5549399852752686
0.95,GlobalMedQA_EN,0.0,0.6666666666666666,0.8405146598815918
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.5,0.9786664247512817
1.0,GlobalMedQA_EN,0.0,0.0,0.6318998336791992
0.95,GlobalMedQA_EN,0.0,0.8000000000000002,0.8787851333618164
0.9,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.0,0.7288365960121155
0.95,GlobalMedQA_EN,0.0,0.0,0.7125299572944641
0.85,GlobalMedQA_EN,0.0,0.0,0.7672520279884338
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.7301166653633118
0.95,GlobalMedQA_EN,0.0,0.0,0.561671257019043
0.95,GlobalMedQA_EN,0.0,0.0,0.7186446785926819
0.95,GlobalMedQA_EN,0.0,0.5,0.9594928622245789
0.85,GlobalMedQA_EN,0.0,0.0,0.4656763970851898
0.95,GlobalMedQA_EN,0.0,0.3636363636363636,0.6761687397956848
0.95,GlobalMedQA_EN,0.0,0.0,0.6670833826065063
0.9,GlobalMedQA_EN,0.0,0.0,0.7055099606513977
0.95,GlobalMedQA_EN,0.0,0.0,0.7720159292221069
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.0,0.7130197286605835
0.95,GlobalMedQA_EN,0.0,0.6666666666666666,0.8568158149719238
0.95,GlobalMedQA_EN,0.0,0.22222222222222224,0.589729368686676
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.8005838394165039
0.9,GlobalMedQA_EN,0.0,0.0,0.6486827731132507
0.95,GlobalMedQA_EN,0.0,0.0,0.5596240162849426
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.3333333333333333,0.7755574584007263
0.95,GlobalMedQA_EN,0.0,0.28571428571428575,0.5784613490104675
0.85,GlobalMedQA_EN,0.0,0.3333333333333333,0.8317914009094238
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.5,0.8940446376800537
0.95,GlobalMedQA_EN,0.0,0.0,0.6556984186172485
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.3333333333333333,0.7758854031562805
0.95,GlobalMedQA_EN,0.0,0.5,0.8546534180641174
0.85,GlobalMedQA_EN,0.0,0.0,0.6017204523086548
0.95,GlobalMedQA_EN,0.0,0.6,0.8268588185310364
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.6783450841903687
0.75,GlobalMedQA_EN,0.0,0.3333333333333333,0.9229065179824829
0.95,GlobalMedQA_EN,0.0,0.6666666666666666,0.9126385450363159
0.95,GlobalMedQA_EN,0.0,0.25,0.8316330909729004
0.95,GlobalMedQA_EN,0.0,0.6666666666666666,0.9027199745178223
0.95,GlobalMedQA_EN,0.0,0.0,0.7582237124443054
0.95,GlobalMedQA_EN,0.0,0.8571428571428571,0.9808534383773804
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.764182984828949
0.95,GlobalMedQA_EN,0.0,0.0,0.8668978214263916
0.6,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.9,GlobalMedQA_EN,0.0,0.22222222222222224,0.7164354920387268
0.95,GlobalMedQA_EN,0.0,0.0,0.8889928460121155
0.95,GlobalMedQA_EN,0.0,0.28571428571428575,0.7454681992530823
0.95,GlobalMedQA_EN,0.0,0.0,0.6964979767799377
0.95,GlobalMedQA_EN,0.0,0.28571428571428575,0.803610622882843
0.95,GlobalMedQA_EN,1.0,1.0,1.0000003576278687
0.95,GlobalMedQA_EN,0.0,0.5,0.7094115018844604
0.95,GlobalMedQA_EN,0.0,0.0,0.510973334312439
0.95,GlobalMedQA_EN,0.0,0.5,0.8931227326393127
0.85,GlobalMedQA_EN,0.0,0.08,0.6966547966003418
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,0.0,0.0,0.7256279587745667
0.95,GlobalMedQA_EN,0.0,0.5,0.9710260629653931
0.95,GlobalMedQA_EN,0.0,0.0,0.7969834208488464
0.95,GlobalMedQA_EN,1.0,1.0,1.0000001192092896
0.85,GlobalMedQA_EN,0.0,0.0,0.7448971271514893
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.3333333333333333,0.7711816430091858
0.85,GlobalMedQA_EN,0.0,0.0,0.7267714738845825
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.95,GlobalMedQA_EN,0.0,0.25,0.7514670491218567
